Current_BBRef_Team_Name,Current_BBRef_Team_Abbreviation,ESPN_Current_Link_ID,NBA_Current_Link_ID,Spotrac_Current_Link_ID
Atlanta Hawks,ATL,ATL,1610612737,atlanta-hawks
Brooklyn Nets,BRK,BKN,1610612751,brooklyn-nets
Boston Celtics,BOS,BOS,1610612738,boston-celtics
Charlotte Hornets,CHA,CHA,1610612766,charlotte-hornets
Cleveland Cavaliers,CLE,CLE,1610612739,cleveland-cavaliers
Chicago Bulls,CHI,CHI,1610612741,chicago-bulls
Dallas Mavericks,DAL,DAL,1610612742,dallas-mavericks
Denver Nuggets,DEN,DEN,1610612743,denver-nuggets
Detroit Pistons,DET,DET,1610612765,detroit-pistons
Golden State Warriors,GSW,GSW,1610612744,golden-state-warriors
Houston Rockets,HOU,HOU,1610612745,houston-rockets
Indiana Pacers,IND,IND,1610612754,indiana-pacers
Los Angeles Clippers,LAC,LAC,1610612746,los-angeles-clippers
Los Angeles Lakers,LAL,LAL,1610612747,los-angeles-lakers
Memphis Grizzlies,MEM,MEM,1610612763,memphis-grizzlies
Miami Heat,MIA,MIA,1610612748,miami-heat
Milwaukee Bucks,MIL,MIL,1610612749,milwaukee-bucks
Minnesota Timberwolves,MIN,MIN,1610612750,minnesota-timberwolves
New York Knicks,NYK,NY,1610612752,new-york-knicks
New Orleans Pelicans,NOP,NO,1610612740,new-orleans-pelicans
Oklahoma City Thunder,OKC,OKC,1610612760,oklahoma-city-thunder
Orlando Magic,ORL,ORL,1610612753,orlando-magic
Philadelphia 76ers,PHI,PHI,1610612755,philadelphia-76ers
Phoenix Suns,PHO,PHX,1610612756,phoenix-suns
Portland Trail Blazers,POR,POR,1610612757,portland-trail-blazers
San Antonio Spurs,SAS,SA,1610612759,san-antonio-spurs
Sacramento Kings,SAC,SAC,1610612758,sacramento-kings
Toronto Raptors,TOR,TOR,1610612761,toronto-raptors
Utah Jazz,UTA,UTAH,1610612762,utah-jazz
Washington Wizards,WAS,WSH,1610612764,washington-wizards