Team Full,Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,Average,35.9,35.9,,0,,114.9,,54.70%,,14.20%,,26.80%,,21.1,,114.9,,54.70%,,14.20%,,26.80%,,21.1
Cleveland,CLE,45,28,1,6.1,8,116.8,10,55.70%,11,13.80%,16,26.70%,14,21.3,3,110.7,10,54.20%,4,16.20%,10,26.20%,13,20.8
Boston,BOS,49,23,2,5.9,5,118,6,56.60%,7,13.20%,27,23.70%,16,20.8,4,112.1,4,53.40%,26,12.70%,1,24.10%,3,18.6
Memphis,MEM,44,27,3,5.2,10,115.7,22,53.80%,6,13.20%,5,29.80%,24,19.5,1,110.5,2,52.20%,6,15.10%,22,27.60%,12,20.6
Philadelphia,PHI,48,23,4,4.8,3,118.2,8,56.40%,13,13.90%,25,24.30%,1,25.3,7,113.4,9,54.10%,12,14.70%,15,26.50%,21,22
Milwaukee,MIL,51,20,5,4.5,14,115.2,11,55.40%,18,14.40%,10,27.40%,28,18.7,2,110.6,1,51.50%,30,11.70%,2,24.50%,1,17.5
Denver,DEN,48,24,6,4.1,2,119,1,58.50%,21,14.70%,11,27.30%,23,19.7,18,114.9,19,55.00%,18,13.80%,6,25.50%,9,20.3
New York,NYK,42,31,7,3,4,118.1,21,53.80%,5,13.00%,2,30.90%,9,22.2,19,115,5,53.40%,25,12.80%,18,26.80%,15,21.1
Sacramento,SAC,43,28,8,2.5,1,119.7,2,57.90%,8,13.50%,24,24.50%,4,23.2,25,117.2,28,56.70%,17,13.90%,3,24.80%,8,20.2
Chicago,CHI,34,37,9,1.2,24,113.6,14,55.00%,10,13.70%,28,23.00%,15,20.9,5,112.4,11,54.50%,11,14.80%,4,25.00%,7,20.2
Oklahoma City,OKC,35,36,10,1,15,115.1,23,53.70%,3,12.80%,12,27.30%,20,20.5,11,114.1,17,54.80%,2,16.60%,28,29.60%,26,22.8
Phoenix,PHX,38,33,11,0.9,18,114.6,20,53.90%,14,14.00%,7,28.90%,27,18.8,8,113.6,7,53.80%,7,15.00%,20,27.40%,30,23.9
Golden State,GSW,37,36,12,0.9,11,115.6,3,57.10%,29,15.90%,21,26.10%,29,17.9,16,114.7,14,54.50%,16,13.90%,17,26.80%,19,21.8
Toronto,TOR,35,37,13,0.9,12,115.6,28,52.00%,1,12.20%,3,30.10%,18,20.7,15,114.6,29,56.90%,1,17.00%,16,26.70%,24,22.6
Dallas,DAL,36,36,14,0.8,7,117.2,4,56.90%,4,12.80%,29,21.50%,3,23.3,23,116.4,21,55.30%,20,13.60%,14,26.50%,29,23.2
Brooklyn,BKN,39,32,15,0.7,17,115,5,56.90%,16,14.00%,30,21.30%,22,20.3,12,114.3,3,53.00%,15,14.00%,29,29.60%,20,21.8
New Orleans,NOP,34,37,16,0.5,20,114.4,17,54.50%,22,14.70%,9,27.70%,10,22,10,113.9,18,55.00%,8,14.90%,9,25.70%,22,22.1
Utah,UTA,35,36,17,0.3,6,117.3,13,55.30%,28,15.40%,4,29.90%,13,21.4,24,117,12,54.50%,27,12.60%,24,28.00%,10,20.4
Minnesota,MIN,36,37,18,0.3,21,114.1,7,56.40%,26,15.30%,26,24.10%,21,20.4,9,113.8,13,54.50%,5,15.50%,27,28.60%,25,22.7
Miami,MIA,39,34,19,-0.1,25,112.7,26,52.50%,15,14.00%,18,26.50%,6,22.9,6,112.9,24,56.00%,3,16.50%,5,25.20%,6,19.7
Atlanta,ATL,35,36,20,-0.5,13,115.4,19,53.90%,2,12.60%,13,27.30%,25,19.4,21,115.9,20,55.20%,14,14.10%,19,27.20%,14,21
LA Lakers,LAL,35,37,21,-0.6,22,113.8,18,54.10%,12,13.80%,22,25.60%,7,22.7,13,114.4,8,53.80%,28,12.30%,11,26.20%,2,17.6
LA Clippers,LAC,38,34,22,-0.8,23,113.7,15,54.70%,17,14.30%,23,25.50%,11,21.8,14,114.5,15,54.60%,23,13.30%,7,25.60%,5,19.6
Washington,WAS,32,39,23,-0.9,16,115,12,55.40%,19,14.60%,19,26.30%,17,20.7,22,115.9,6,53.70%,29,12.10%,13,26.40%,4,19.4
Portland,POR,31,40,24,-1.8,9,116.7,9,55.90%,23,14.80%,20,26.10%,2,24.2,27,118.5,25,56.00%,22,13.30%,23,27.90%,18,21.7
Orlando,ORL,29,43,25,-2.8,26,111.9,25,53.20%,24,15.10%,14,27.20%,5,23,17,114.7,23,55.50%,10,14.90%,8,25.70%,16,21.2
Indiana,IND,32,40,26,-3.2,19,114.5,16,54.50%,20,14.60%,15,26.90%,19,20.7,26,117.7,22,55.30%,9,14.90%,30,30.50%,27,22.9
Charlotte,CHA,23,50,27,-6.1,30,109.3,30,51.50%,9,13.70%,17,26.60%,26,19.2,20,115.5,16,54.80%,13,14.40%,21,27.50%,17,21.5
Detroit,DET,16,56,28,-8.1,29,110.7,27,52.30%,25,15.10%,8,28.30%,8,22.5,28,118.8,26,56.20%,19,13.70%,25,28.30%,28,22.9
Houston,HOU,18,54,29,-8.6,28,110.7,29,51.60%,30,16.60%,1,33.20%,12,21.7,29,119.3,27,56.40%,24,13.10%,12,26.30%,23,22.3
San Antonio,SAS,19,52,30,-9.3,27,111,24,53.20%,27,15.30%,6,29.20%,30,17,30,120.3,30,57.40%,21,13.50%,26,28.60%,11,20.5